"","PassengerId","Survived","Pclass","Name","Sex","SibSp","Parch","Ticket","Cabin","Age","Fare","new_Embarked"
"1",1,0,"3","Braund, Mr. Owen Harris","male",1,0,"A/5 21171","",22,7.25,"3"
"2",2,1,"1","Cumings, Mrs. John Bradley (Florence Briggs Thayer)","female",1,0,"PC 17599","C85",38,71.2833,"1"
"3",3,1,"3","Heikkinen, Miss. Laina","female",0,0,"STON/O2. 3101282","",26,7.925,"3"
"4",4,1,"1","Futrelle, Mrs. Jacques Heath (Lily May Peel)","female",1,0,"113803","C123",35,53.1,"3"
"5",5,0,"3","Allen, Mr. William Henry","male",0,0,"373450","",35,8.05,"3"
"6",6,0,"3","Moran, Mr. James","male",0,0,"330877","",19,8.4583,"2"
"7",7,0,"1","McCarthy, Mr. Timothy J","male",0,0,"17463","E46",54,51.8625,"3"
"8",8,0,"3","Palsson, Master. Gosta Leonard","male",3,1,"349909","",2,21.075,"3"
"9",9,1,"3","Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)","female",0,2,"347742","",27,11.1333,"3"
"10",10,1,"2","Nasser, Mrs. Nicholas (Adele Achem)","female",1,0,"237736","",14,30.0708,"1"
"11",11,1,"3","Sandstrom, Miss. Marguerite Rut","female",1,1,"PP 9549","G6",4,16.7,"3"
"12",12,1,"1","Bonnell, Miss. Elizabeth","female",0,0,"113783","C103",58,26.55,"3"
"13",13,0,"3","Saundercock, Mr. William Henry","male",0,0,"A/5. 2151","",20,8.05,"3"
"14",14,0,"3","Andersson, Mr. Anders Johan","male",1,5,"347082","",39,31.275,"3"
"15",15,0,"3","Vestrom, Miss. Hulda Amanda Adolfina","female",0,0,"350406","",14,7.8542,"3"
"16",16,1,"2","Hewlett, Mrs. (Mary D Kingcome) ","female",0,0,"248706","",55,16,"3"
"17",17,0,"3","Rice, Master. Eugene","male",4,1,"382652","",2,29.125,"2"
"18",18,1,"2","Williams, Mr. Charles Eugene","male",0,0,"244373","",19,13,"3"
